,Date,NIFTY REALTY
237,2008-12-18,301.89
238,2008-12-19,334.75
239,2008-12-22,334.19
240,2008-12-23,317.16
241,2008-12-24,301.3
242,2008-12-26,288.52
243,2008-12-29,289.76
244,2008-12-30,299.33
245,2008-12-31,298.37
246,2009-01-01,319.18
247,2009-01-02,325.66
248,2009-01-05,324.8
249,2009-01-06,310.94
250,2009-01-07,255.65
251,2009-01-09,243.04
252,2009-01-12,230.83
253,2009-01-13,232.37
254,2009-01-14,243.22
255,2009-01-15,230.64
256,2009-01-16,224.15
257,2009-01-19,229.23
258,2009-01-20,220.63
259,2009-01-21,212.59
260,2009-01-22,200.68
261,2009-01-23,194.61
262,2009-01-27,197.69
263,2009-01-28,210.72
264,2009-01-29,205.02
265,2009-01-30,215.2
266,2009-02-02,191.41
267,2009-02-03,175.75
268,2009-02-04,177.29
269,2009-02-05,175.32
270,2009-02-06,178.92
271,2009-02-09,182.62
272,2009-02-10,195.11
273,2009-02-11,195.5
274,2009-02-12,197.84
275,2009-02-13,202.09
276,2009-02-16,192.1
277,2009-02-17,182.2
278,2009-02-18,187.97
279,2009-02-19,185.93
280,2009-02-20,182.54
281,2009-02-24,182.3
282,2009-02-25,180.41
283,2009-02-26,182.36
284,2009-02-27,178.41
285,2009-03-02,173.86
286,2009-03-03,171.58
287,2009-03-04,172.12
288,2009-03-05,170.18
289,2009-03-06,168.42
290,2009-03-09,161.78
291,2009-03-12,161.67
292,2009-03-13,173.63
293,2009-03-16,180.61
294,2009-03-17,176.54
295,2009-03-18,186.46
296,2009-03-19,189.28
297,2009-03-20,187.6
298,2009-03-23,189.07
299,2009-03-24,191.33
300,2009-03-25,204.03
301,2009-03-26,206.48
302,2009-03-27,209.32
303,2009-03-30,193.5
304,2009-03-31,199.97
305,2009-04-01,212.23
306,2009-04-02,232.42
307,2009-04-06,240.04
308,2009-04-08,252.21
309,2009-04-09,268.15
310,2009-04-13,280.85
311,2009-04-15,305.14
312,2009-04-16,277.41
313,2009-04-17,286.12
314,2009-04-20,290.61
315,2009-04-21,298.63
316,2009-04-22,284.31
317,2009-04-23,297.96
318,2009-04-24,301.87
319,2009-04-27,292.04
320,2009-04-28,275.13
321,2009-04-29,282.47
322,2009-05-04,296.23
323,2009-05-05,320.91
324,2009-05-06,307.06
325,2009-05-07,314.21
326,2009-05-08,311.74
327,2009-05-11,295.89
328,2009-05-12,308.3
329,2009-05-13,307.52
330,2009-05-14,314.83
331,2009-05-15,320.32
332,2009-05-18,396.18
333,2009-05-19,448.14
334,2009-05-20,450.99
335,2009-05-21,445.78
336,2009-05-22,444.74
337,2009-05-25,461.58
338,2009-05-26,439.53
339,2009-05-27,464.72
340,2009-05-28,476.84
341,2009-05-29,510.19
342,2009-06-01,541.9
343,2009-06-02,532.19
344,2009-06-03,537.1
345,2009-06-04,554.64
346,2009-06-05,541.7
347,2009-06-08,480.92
348,2009-06-09,507.79
349,2009-06-10,501.72
350,2009-06-11,498.27
351,2009-06-12,485.97
352,2009-06-15,469.65
353,2009-06-16,478.27
354,2009-06-17,449.29
355,2009-06-18,421.16
356,2009-06-19,436.76
357,2009-06-22,425.61
358,2009-06-23,422.13
359,2009-06-24,430.77
360,2009-06-25,433.53
361,2009-06-26,447.19
362,2009-06-29,461.49
363,2009-06-30,425.09
364,2009-07-01,444.55
365,2009-07-02,451.85
366,2009-07-03,457.11
367,2009-07-06,423.36
368,2009-07-07,422.63
369,2009-07-08,385.35
370,2009-07-09,385.21
371,2009-07-10,377.27
372,2009-07-13,364.15
373,2009-07-14,397.87
374,2009-07-15,428.66
375,2009-07-16,428.4
376,2009-07-17,442.88
377,2009-07-20,464.6
378,2009-07-21,459.28
379,2009-07-22,458.43
380,2009-07-23,481.92
381,2009-07-24,503.21
382,2009-07-27,517.88
383,2009-07-28,542.7
384,2009-07-29,518.23
385,2009-07-30,526.2
386,2009-07-31,519.79
387,2009-08-03,541.49
388,2009-08-04,535.05
389,2009-08-05,524.51
390,2009-08-06,504.13
391,2009-08-07,486.84
392,2009-08-10,478.99
393,2009-08-11,489.46
394,2009-08-12,500.69
395,2009-08-13,535.53
396,2009-08-14,527.02
397,2009-08-17,485.74
398,2009-08-18,497.7
399,2009-08-19,488.25
400,2009-08-20,495.26
401,2009-08-21,513.13
402,2009-08-24,539.68
403,2009-08-25,544.21
404,2009-08-26,550.47
405,2009-08-27,548.44
406,2009-08-28,568.57
407,2009-08-31,587.31
408,2009-09-01,568.26
409,2009-09-02,556.45
410,2009-09-03,557.56
411,2009-09-04,568.73
412,2009-09-07,601.93
413,2009-09-08,596.56
414,2009-09-09,586.55
415,2009-09-10,573.17
416,2009-09-11,564.54
417,2009-09-14,559.82
418,2009-09-15,582.17
419,2009-09-16,594.48
420,2009-09-17,588.55
421,2009-09-18,594.95
422,2009-09-22,602.64
423,2009-09-23,587.46
424,2009-09-24,591.35
425,2009-09-25,595.12
426,2009-09-29,590.66
427,2009-09-30,598.63
428,2009-10-01,599.64
429,2009-10-05,577.72
430,2009-10-06,573.54
431,2009-10-07,577.16
432,2009-10-08,590.03
433,2009-10-09,585.8
434,2009-10-12,594.36
435,2009-10-14,602.84
436,2009-10-15,604.49
437,2009-10-16,624.98
438,2009-10-17,624.12
439,2009-10-20,630.79
440,2009-10-21,632.66
441,2009-10-22,602.49
442,2009-10-23,601.31
443,2009-10-26,574.0
444,2009-10-27,537.85
445,2009-10-28,543.71
446,2009-10-29,507.9
447,2009-10-30,509.18
448,2009-11-03,457.31
449,2009-11-04,504.09
450,2009-11-05,517.88
451,2009-11-06,532.39
452,2009-11-09,542.04
453,2009-11-10,526.9
454,2009-11-11,539.74
455,2009-11-12,522.59
456,2009-11-13,517.67
457,2009-11-16,533.8
458,2009-11-17,526.2
459,2009-11-18,529.3
460,2009-11-19,505.89
461,2009-11-20,509.47
462,2009-11-23,507.45
463,2009-11-24,504.49
464,2009-11-25,488.45
465,2009-11-26,477.96
466,2009-11-27,476.4
467,2009-11-30,483.21
468,2009-12-01,514.0
469,2009-12-02,524.62
470,2009-12-03,526.72
471,2009-12-04,523.2
472,2009-12-07,510.4
473,2009-12-08,527.84
474,2009-12-09,525.42
475,2009-12-10,524.75
476,2009-12-11,520.22
477,2009-12-14,520.3
478,2009-12-15,513.82
479,2009-12-16,507.11
480,2009-12-17,502.5
481,2009-12-18,491.73
482,2009-12-21,485.09
483,2009-12-22,492.38
484,2009-12-23,506.05
485,2009-12-24,510.62
486,2009-12-29,506.97
487,2009-12-30,510.37
488,2009-12-31,510.29
489,2010-01-04,511.8
490,2010-01-05,517.44
491,2010-01-06,525.42
492,2010-01-07,521.33
493,2010-01-08,538.05
494,2010-01-11,552.34
495,2010-01-12,534.64
496,2010-01-13,536.53
497,2010-01-14,534.36
498,2010-01-15,537.85
499,2010-01-18,537.33
500,2010-01-19,527.84
501,2010-01-20,516.74
502,2010-01-21,502.48
503,2010-01-22,493.8
504,2010-01-25,478.54
505,2010-01-27,439.75
506,2010-01-28,447.06
507,2010-01-29,460.07
508,2010-02-01,462.32
509,2010-02-02,451.23
510,2010-02-03,464.72
511,2010-02-04,446.57
512,2010-02-05,426.13
513,2010-02-06,436.29
514,2010-02-08,438.5
515,2010-02-09,432.09
516,2010-02-10,436.85
517,2010-02-11,445.69
518,2010-02-15,444.1
519,2010-02-16,449.0
520,2010-02-17,444.46
521,2010-02-18,434.54
522,2010-02-19,419.48
523,2010-02-22,411.33
524,2010-02-23,415.74
525,2010-02-24,420.54
526,2010-02-25,420.27
527,2010-02-26,426.99
528,2010-03-02,427.93
529,2010-03-03,437.3
530,2010-03-04,448.52
531,2010-03-05,455.18
532,2010-03-08,451.85
533,2010-03-09,446.09
534,2010-03-10,448.47
535,2010-03-11,447.33
536,2010-03-12,444.1
537,2010-03-15,440.51
538,2010-03-16,444.11
539,2010-03-17,440.68
540,2010-03-18,440.84
541,2010-03-19,437.34
542,2010-03-22,418.96
543,2010-03-23,415.44
544,2010-03-25,418.72
545,2010-03-26,417.91
546,2010-03-29,421.47
547,2010-03-30,427.52
548,2010-03-31,427.74
549,2010-04-01,432.38
550,2010-04-05,444.08
551,2010-04-06,450.57
552,2010-04-07,452.53
553,2010-04-08,455.79
554,2010-04-09,456.1
555,2010-04-12,459.73
556,2010-04-13,457.81
557,2010-04-15,465.32
558,2010-04-16,463.08
559,2010-04-19,451.52
560,2010-04-20,465.4
561,2010-04-21,473.67
562,2010-04-22,466.72
563,2010-04-23,469.67
564,2010-04-26,461.1
565,2010-04-27,454.46
566,2010-04-28,437.43
567,2010-04-29,446.1
568,2010-04-30,454.69
569,2010-05-03,449.19
570,2010-05-04,435.95
571,2010-05-05,430.18
572,2010-05-06,427.59
573,2010-05-07,407.97
574,2010-05-10,435.68
575,2010-05-11,424.29
576,2010-05-12,427.95
577,2010-05-13,439.4
578,2010-05-14,427.95
579,2010-05-17,423.47
580,2010-05-18,420.86
581,2010-05-19,402.99
582,2010-05-20,393.89
583,2010-05-21,387.72
584,2010-05-24,380.14
585,2010-05-25,370.07
586,2010-05-26,382.52
587,2010-05-27,390.09
588,2010-05-28,405.89
589,2010-05-31,401.53
590,2010-06-01,389.01
591,2010-06-02,394.49
592,2010-06-03,400.66
593,2010-06-04,401.44
594,2010-06-07,384.96
595,2010-06-08,374.7
596,2010-06-09,378.95
597,2010-06-10,386.27
598,2010-06-11,385.19
599,2010-06-14,387.74
600,2010-06-15,398.82
601,2010-06-16,400.03
602,2010-06-17,402.38
603,2010-06-18,401.0
604,2010-06-21,413.23
605,2010-06-22,413.03
606,2010-06-23,419.0
607,2010-06-24,415.77
608,2010-06-25,411.28
609,2010-06-28,420.21
610,2010-06-29,412.18
611,2010-06-30,417.35
612,2010-07-01,410.82
613,2010-07-02,408.75
614,2010-07-05,407.85
615,2010-07-06,413.16
616,2010-07-07,410.0
617,2010-07-08,417.52
618,2010-07-09,427.48
619,2010-07-12,438.91
620,2010-07-13,457.0
621,2010-07-14,456.67
622,2010-07-15,452.43
623,2010-07-16,455.11
624,2010-07-19,450.5
625,2010-07-20,457.35
626,2010-07-21,462.5
627,2010-07-22,465.7
628,2010-07-23,458.4
629,2010-07-26,448.65
630,2010-07-27,453.65
631,2010-07-28,446.75
632,2010-07-29,447.65
633,2010-07-30,441.6
634,2010-08-02,446.7
635,2010-08-03,447.3
636,2010-08-04,449.6
637,2010-08-05,455.0
638,2010-08-06,453.35
639,2010-08-09,475.95
640,2010-08-10,477.5
641,2010-08-11,468.7
642,2010-08-12,473.1
643,2010-08-13,483.25
644,2010-08-16,478.4
645,2010-08-17,478.75
646,2010-08-18,479.95
647,2010-08-19,476.5
648,2010-08-20,485.45
649,2010-08-23,485.55
650,2010-08-24,472.8
651,2010-08-25,456.75
652,2010-08-26,454.25
653,2010-08-27,441.3
654,2010-08-30,442.1
655,2010-08-31,435.15
656,2010-09-01,448.85
657,2010-09-02,449.65
658,2010-09-03,455.7
659,2010-09-06,465.8
660,2010-09-07,460.5
661,2010-09-08,463.7
662,2010-09-09,466.5
663,2010-09-13,478.0
664,2010-09-14,475.95
665,2010-09-15,478.4
666,2010-09-16,484.0
667,2010-09-17,487.7
668,2010-09-20,496.75
669,2010-09-21,489.6
670,2010-09-22,481.6
671,2010-09-23,470.7
672,2010-09-24,485.15
673,2010-09-27,491.65
674,2010-09-28,493.65
675,2010-09-29,490.8
676,2010-09-30,491.75
677,2010-10-01,511.9
678,2010-10-04,514.75
679,2010-10-05,516.7
680,2010-10-06,531.55
681,2010-10-07,516.9
682,2010-10-08,515.1
683,2010-10-11,517.25
684,2010-10-12,507.75
685,2010-10-13,521.15
686,2010-10-14,519.1
687,2010-10-15,513.45
688,2010-10-18,518.05
689,2010-10-19,508.55
690,2010-10-20,500.95
691,2010-10-21,511.3
692,2010-10-22,503.5
693,2010-10-25,507.95
694,2010-10-26,506.15
695,2010-10-27,495.5
696,2010-10-28,485.65
697,2010-10-29,481.55
698,2010-11-01,494.95
699,2010-11-02,481.05
700,2010-11-03,484.25
701,2010-11-04,492.75
702,2010-11-05,495.5
703,2010-11-08,497.05
704,2010-11-09,505.0
705,2010-11-10,502.55
706,2010-11-11,485.7
707,2010-11-12,461.65
708,2010-11-15,455.25
709,2010-11-16,438.05
710,2010-11-18,434.25
711,2010-11-19,417.05
712,2010-11-22,426.0
713,2010-11-23,411.6
714,2010-11-24,399.35
715,2010-11-25,377.65
716,2010-11-26,360.2
717,2010-11-29,364.35
718,2010-11-30,384.95
719,2010-12-01,397.15
720,2010-12-02,407.3
721,2010-12-03,390.5
722,2010-12-06,389.35
723,2010-12-07,385.15
724,2010-12-08,376.3
725,2010-12-09,360.3
726,2010-12-10,365.15
727,2010-12-13,374.05
728,2010-12-14,378.05
729,2010-12-15,364.2
730,2010-12-16,367.6
731,2010-12-20,362.15
732,2010-12-21,367.95
733,2010-12-22,367.7
734,2010-12-23,364.4
735,2010-12-24,367.1
736,2010-12-27,363.65
737,2010-12-28,365.25
738,2010-12-29,366.05
739,2010-12-30,371.45
740,2010-12-31,379.95
741,2011-01-03,381.35
742,2011-01-04,376.35
743,2011-01-05,368.5
744,2011-01-06,359.4
745,2011-01-07,353.5
746,2011-01-10,340.25
747,2011-01-11,329.65
748,2011-01-12,341.85
749,2011-01-13,344.1
750,2011-01-14,333.7
751,2011-01-17,325.55
752,2011-01-18,326.5
753,2011-01-19,332.75
754,2011-01-20,331.65
755,2011-01-21,329.7
756,2011-01-24,334.0
757,2011-01-25,329.35
758,2011-01-27,316.6
759,2011-01-28,300.65
760,2011-01-31,293.75
761,2011-02-01,281.75
762,2011-02-02,288.55
763,2011-02-03,300.85
764,2011-02-04,289.55
765,2011-02-07,295.15
766,2011-02-08,285.65
767,2011-02-09,274.95
768,2011-02-10,274.0
769,2011-02-11,278.55
770,2011-02-14,285.3
771,2011-02-15,281.15
772,2011-02-16,287.25
773,2011-02-17,284.05
774,2011-02-18,271.95
775,2011-02-21,274.0
776,2011-02-22,272.45
777,2011-02-23,268.8
778,2011-02-24,258.8
779,2011-02-25,259.6
780,2011-02-28,262.9
781,2011-03-01,274.7
782,2011-03-03,275.45
783,2011-03-04,276.4
784,2011-03-07,271.5
785,2011-03-08,275.45
786,2011-03-09,280.6
787,2011-03-10,282.9
788,2011-03-11,280.65
789,2011-03-14,282.75
790,2011-03-15,273.1
791,2011-03-16,279.55
792,2011-03-17,277.35
793,2011-03-18,272.75
794,2011-03-21,270.1
795,2011-03-22,276.25
796,2011-03-23,282.45
797,2011-03-24,290.8
798,2011-03-25,298.95
799,2011-03-28,296.95
800,2011-03-29,299.15
801,2011-03-30,309.75
802,2011-03-31,313.3
803,2011-04-01,321.8
804,2011-04-04,322.2
805,2011-04-05,324.8
806,2011-04-06,335.65
807,2011-04-07,340.55
808,2011-04-08,329.3
809,2011-04-11,321.0
810,2011-04-13,326.5
811,2011-04-15,322.6
812,2011-04-18,311.55
813,2011-04-19,312.65
814,2011-04-20,315.05
815,2011-04-21,318.6
816,2011-04-25,314.0
817,2011-04-26,313.15
818,2011-04-27,308.8
819,2011-04-28,297.8
820,2011-04-29,289.3
821,2011-05-02,292.2
822,2011-05-03,282.9
823,2011-05-04,281.1
824,2011-05-05,272.25
825,2011-05-06,276.3
826,2011-05-09,275.65
827,2011-05-10,279.55
828,2011-05-11,283.5
829,2011-05-12,282.85
830,2011-05-13,289.2
831,2011-05-16,284.25
832,2011-05-17,283.75
833,2011-05-18,280.6
834,2011-05-19,271.95
835,2011-05-20,275.65
836,2011-05-23,267.85
837,2011-05-24,266.55
838,2011-05-25,263.7
839,2011-05-26,265.75
840,2011-05-27,274.95
841,2011-05-30,281.5
842,2011-05-31,289.25
843,2011-06-01,288.75
844,2011-06-02,284.3
845,2011-06-03,282.3
846,2011-06-06,283.15
847,2011-06-07,288.6
848,2011-06-08,287.1
849,2011-06-09,287.45
850,2011-06-10,284.7
851,2011-06-13,283.7
852,2011-06-14,285.75
853,2011-06-15,282.55
854,2011-06-16,281.6
855,2011-06-17,281.05
856,2011-06-20,270.05
857,2011-06-21,262.45
858,2011-06-22,257.35
859,2011-06-23,256.05
860,2011-06-24,265.8
861,2011-06-27,263.15
862,2011-06-28,263.4
863,2011-06-29,264.6
864,2011-06-30,267.65
865,2011-07-01,275.2
866,2011-07-04,286.35
867,2011-07-05,283.15
868,2011-07-06,284.8
869,2011-07-07,290.8
870,2011-07-08,297.75
871,2011-07-11,288.75
872,2011-07-12,280.25
873,2011-07-13,283.4
874,2011-07-14,290.25
875,2011-07-15,288.3
876,2011-07-18,291.15
877,2011-07-19,294.8
878,2011-07-20,296.0
879,2011-07-21,291.9
880,2011-07-22,294.35
881,2011-07-25,296.55
882,2011-07-26,285.85
883,2011-07-27,284.4
884,2011-07-28,279.6
885,2011-07-29,273.05
886,2011-08-01,274.25
887,2011-08-02,269.5
888,2011-08-03,266.05
889,2011-08-04,260.25
890,2011-08-05,251.2
891,2011-08-08,239.2
892,2011-08-09,238.35
893,2011-08-10,247.2
894,2011-08-11,244.4
895,2011-08-12,241.25
896,2011-08-16,228.65
897,2011-08-17,221.25
898,2011-08-18,221.0
899,2011-08-19,222.4
900,2011-08-22,223.4
901,2011-08-23,224.25
902,2011-08-24,221.45
903,2011-08-25,223.35
904,2011-08-26,213.05
905,2011-08-29,222.45
906,2011-08-30,231.4
907,2011-09-02,236.95
908,2011-09-05,238.25
909,2011-09-06,232.65
910,2011-09-07,241.25
911,2011-09-08,242.5
912,2011-09-09,236.8
913,2011-09-12,229.4
914,2011-09-13,230.6
915,2011-09-14,231.3
916,2011-09-15,239.7
917,2011-09-16,242.35
918,2011-09-19,241.5
919,2011-09-20,245.4
920,2011-09-21,248.15
921,2011-09-22,233.15
922,2011-09-23,231.2
923,2011-09-26,229.8
924,2011-09-27,241.65
925,2011-09-28,242.85
926,2011-09-29,242.85
927,2011-09-30,237.6
928,2011-10-03,224.8
929,2011-10-04,222.85
930,2011-10-05,225.65
931,2011-10-07,234.6
932,2011-10-10,242.9
933,2011-10-11,242.55
934,2011-10-12,249.65
935,2011-10-13,250.4
936,2011-10-14,247.1
937,2011-10-17,248.6
938,2011-10-18,242.55
939,2011-10-19,250.9
940,2011-10-20,244.75
941,2011-10-21,240.15
942,2011-10-24,242.9
943,2011-10-25,246.3
944,2011-10-26,247.75
945,2011-10-28,262.2
946,2011-10-31,261.45
947,2011-11-01,256.05
948,2011-11-02,255.2
949,2011-11-03,260.1
950,2011-11-04,262.5
951,2011-11-08,258.7
952,2011-11-09,250.75
953,2011-11-11,244.3
954,2011-11-14,237.35
955,2011-11-15,223.5
956,2011-11-16,224.35
957,2011-11-17,218.55
958,2011-11-18,214.75
959,2011-11-21,207.4
960,2011-11-22,208.0
961,2011-11-23,204.35
962,2011-11-24,207.85
963,2011-11-25,209.65
964,2011-11-28,216.65
965,2011-11-29,211.5
966,2011-11-30,210.1
967,2011-12-01,218.05
968,2011-12-02,222.5
969,2011-12-05,221.7
970,2011-12-07,223.1
971,2011-12-08,214.15
972,2011-12-09,211.05
973,2011-12-12,205.05
974,2011-12-13,206.4
975,2011-12-14,201.7
976,2011-12-15,201.2
977,2011-12-16,194.25
978,2011-12-19,188.75
979,2011-12-20,183.0
980,2011-12-21,185.3
981,2011-12-22,191.45
982,2011-12-23,191.7
983,2011-12-26,194.75
984,2011-12-27,191.2
985,2011-12-28,189.6
986,2011-12-29,185.95
987,2011-12-30,184.2
988,2012-01-02,183.1
989,2012-01-03,191.45
990,2012-01-04,190.8
991,2012-01-05,187.25
992,2012-01-06,185.85
993,2012-01-07,186.95
994,2012-01-09,190.25
995,2012-01-10,199.75
996,2012-01-11,208.95
997,2012-01-12,209.35
998,2012-01-13,213.75
999,2012-01-16,212.6
1000,2012-01-17,220.35
1001,2012-01-18,222.05
1002,2012-01-19,229.9
1003,2012-01-20,231.7
1004,2012-01-23,233.65
1005,2012-01-24,236.5
1006,2012-01-25,236.0
1007,2012-01-27,230.25
1008,2012-01-30,223.05
1009,2012-01-31,231.45
1010,2012-02-01,233.65
1011,2012-02-02,235.85
1012,2012-02-03,240.45
1013,2012-02-06,250.45
1014,2012-02-07,244.5
1015,2012-02-08,251.75
1016,2012-02-09,256.65
1017,2012-02-10,254.35
1018,2012-02-13,254.5
1019,2012-02-14,260.4
1020,2012-02-15,272.7
1021,2012-02-16,277.75
1022,2012-02-17,280.75
1023,2012-02-21,293.85
1024,2012-02-22,273.3
1025,2012-02-23,266.65
1026,2012-02-24,259.75
1027,2012-02-27,245.5
1028,2012-02-28,260.7
1029,2012-02-29,263.8
1030,2012-03-01,254.35
1031,2012-03-02,248.55
1032,2012-03-03,247.65
1033,2012-03-05,239.05
1034,2012-03-06,236.6
1035,2012-03-07,239.25
1036,2012-03-09,246.45
1037,2012-03-12,249.2
1038,2012-03-13,254.9
1039,2012-03-14,252.55
1040,2012-03-15,245.25
1041,2012-03-16,242.0
1042,2012-03-19,235.65
1043,2012-03-20,239.1
1044,2012-03-21,247.8
1045,2012-03-22,237.05
1046,2012-03-23,240.75
1047,2012-03-26,232.1
1048,2012-03-27,235.75
1049,2012-03-28,231.65
1050,2012-03-29,232.1
1051,2012-03-30,239.05
1052,2012-04-02,243.1
1053,2012-04-03,245.2
1054,2012-04-04,241.55
1055,2012-04-09,239.8
1056,2012-04-10,240.1
1057,2012-04-11,238.05
1058,2012-04-12,238.65
1059,2012-04-13,235.8
1060,2012-04-16,238.45
